25086,# doc = Rapunzel.2.txt,,,,,,,,,,,,,,,,
25087,# speaker = Ann,,,,,,,,,,,,,,,,
25088,# sent = 1776,,,,,,,,,,,,,,,,
25089,,Что,ЧТО,SPRO n inan nom sg,,,   _Что_ ты думаешь про,о,т,ч,,,,SPRO,ЧТО,S n - nom sg,О
25090,,ты,ТЫ,SPRO sg 2p - nom,,,  Что _ты_ думаешь про мультфильм,ы,т,,,,,SPRO,ТЫ,SPRO sg 2p - nom,Ы
25091,,думаешь,ДУМАТЬ,V ipf praes sg indic - 2p,,, Что ты _думаешь_ про мультфильм принцесса,ь,ш,е,а,м,у,V,ДУМАТЬ,V ipf praes sg indic - 2p,Ь
25092,,про,ПРО,PR,,,Что ты думаешь _про_ мультфильм принцесса Рапунцель,о,р,п,,,,PR,ПРО,PR,О
25093,,мультфильм,МУЛЬТФИЛЬМ,S m inan acc sg,,,ты думаешь про _мультфильм_ принцесса Рапунцель ?,м,ь,л,и,ф,т,S,МУЛЬТФИЛЬМ,S m inan acc sg,М
25094,,принцесса,ПРИНЦЕССА,S f anim nom sg,,,думаешь про мультфильм _принцесса_ Рапунцель ? ,а,с,с,е,ц,н,S,ПРИНЦЕССА,S f anim nom sg,А
25095,,Рапунцель,РАПУНЦЕЛЬ,S f anim nom sg persn,,,про мультфильм принцесса _Рапунцель_ ?  ,ь,л,е,ц,н,у,S,РАПУНЦЕЛЬ,S m inan acc sg,Ь
25096,,?,?,PUNCT,,,,,,,,,,PUNCT,,,
25097,,,,,,,,,,,,,,,,,
25098,# sent = 1777,,,,,,,,,,,,,,,,
25099,# speaker = Tody,,,,,,,,,,,,,,,,
25100,# sent = 1778,,,,,,,,,,,,,,,,
25101,,Принцесса,ПРИНЦЕССА,S f anim nom sg,,,   _Принцесса_ Рапунцель ? ,а,с,с,е,ц,н,S,ПРИНЦЕССА,S f anim nom sg,А
25102,,Рапунцель,РАПУНЦЕЛЬ,S f anim nom sg persn,,,  Принцесса _Рапунцель_ ?  ,ь,л,е,ц,н,у,S,РАПУНЦЕЛЬ,S m inan acc sg,Ь
25103,,?,?,PUNCT,,,,,,,,,,PUNCT,,,
25104,,,,,,,,,,,,,,,,,
25105,# sent = 1779,,,,,,,,,,,,,,,,
25106,# speaker = Ars,,,,,,,,,,,,,,,,
25107,# sent = 1780,,,,,,,,,,,,,,,,
25108,,Принцесса,ПРИНЦЕССА,S f anim nom sg,,,   _Принцесса_ Рапунцель ? ,а,с,с,е,ц,н,S,ПРИНЦЕССА,S f anim nom sg,А
25109,,Рапунцель,РАПУНЦЕЛЬ,S f anim nom sg persn,,,  Принцесса _Рапунцель_ ?  ,ь,л,е,ц,н,у,S,РАПУНЦЕЛЬ,S m inan acc sg,Ь
25110,,?,?,PUNCT,,,,,,,,,,PUNCT,,,
25111,,,,,,,,,,,,,,,,,
25112,# sent = 1781,,,,,,,,,,,,,,,,
25113,# speaker = Tody,,,,,,,,,,,,,,,,
25114,# sent = 1782,,,,,,,,,,,,,,,,
25115,,Да,ДА,PART,,,   _Да_ .  ,а,д,,,,,PART,ДА,PART,А
25116,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
25117,,,,,,,,,,,,,,,,,
25118,# sent = 1783,,,,,,,,,,,,,,,,
25119,# speaker = Ars,,,,,,,,,,,,,,,,
25120,# sent = 1784,,,,,,,,,,,,,,,,
25121,,Я,Я,SPRO sg 1p - nom,,,   _Я_ – главная героиня,я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
25122,,–,–,PUNCT,,,,,,,,,,PUNCT,,,
25123,,главная,ГЛАВНЫЙ,A - nom sg plen f -,,, Я – _главная_ героиня этого мультфильма,я,а,н,в,а,л,A,ГЛАВНЫЙ,A - nom sg plen f -,Й
25124,,героиня,ГЕРОИНЯ,S f anim nom sg,,,Я – главная _героиня_ этого мультфильма .,я,н,и,о,р,е,S,ГЕРОИНЯ,S f anim nom sg,Я
25125,,этого,ЭТОТ,APRO - gen sg plen m -,,,– главная героиня _этого_ мультфильма . ,о,г,о,т,э,,APRO,ЭТОТ,A - acc sg plen m anim,Т
25126,,мультфильма,МУЛЬТФИЛЬМ,S m inan gen sg,,,главная героиня этого _мультфильма_ .  ,а,м,ь,л,и,ф,S,МУЛЬТФИЛЬМ,S m inan gen sg,М
25127,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
25128,,,,,,,,,,,,,,,,,
25129,# sent = 1785,,,,,,,,,,,,,,,,
25130,# speaker = Tody,,,,,,,,,,,,,,,,
25131,# sent = 1786,,,,,,,,,,,,,,,,
25132,,Сеня,АРСЕНИЙ,S m anim nom sg persn,,,   _Сеня_ сразу начинает ассоциировать,я,н,е,с,,,S,СЕНЯ,S m anim nom sg,Й
25133,,сразу,СРАЗУ,ADV -,,,  Сеня _сразу_ начинает ассоциировать себя,у,з,а,р,с,,ADV,СРАЗУ,ADV -,У
25134,,начинает,НАЧИНАТЬ,V ipf praes sg indic - 3p,,, Сеня сразу _начинает_ ассоциировать себя с,т,е,а,н,и,ч,V,НАЧИНАТЬ,V ipf praes sg indic - 3p,Ь
25135,,ассоциировать,АССОЦИИРОВАТЬ,V ipf - - inf - -,,,Сеня сразу начинает _ассоциировать_ себя с кем-то,ь,т,а,в,о,р,V,АССОЦИИРОВАТЬ,V ipf - - inf - -,Ь
25136,,себя,СЕБЯ,SPRO - - - acc,,,сразу начинает ассоциировать _себя_ с кем-то .,я,б,е,с,,,SPRO,СЕБЯ,SPRO - - - acc,Я
25137,,с,С,PR,,,начинает ассоциировать себя _с_ кем-то . ,с,,,,,,PR,С,PR,С
25138,,кем-то,КТО-ТО,SPRO m - ins sg,,,ассоциировать себя с _кем-то_ .  ,о,т,-,м,е,к,S,КТО-ТО,S m - ins sg,О
25139,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
25140,,,,,,,,,,,,,,,,,
25141,# sent = 1787,,,,,,,,,,,,,,,,
25142,# speaker = Ars,,,,,,,,,,,,,,,,
25143,# sent = 1788,,,,,,,,,,,,,,,,
25144,,Да,ДА,PART,,,   _Да_ .  ,а,д,,,,,PART,ДА,PART,А
25145,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
25146,,,,,,,,,,,,,,,,,
25147,# sent = 1789,,,,,,,,,,,,,,,,
25148,"<span class=""note"">",,,,,,,,,,,,,,,,
25149,<note>,Говорят одновременно,,,,,,,,,,,,,,,
25150,</span>,,,,,,,,,,,,,,,,
25151,,,,,,,,,,,,,,,,,
25152,# sent = 1790,,,,,,,,,,,,,,,,
25153,# speaker = Tody,,,,,,,,,,,,,,,,
25154,# sent = 1791,,,,,,,,,,,,,,,,
25155,,Это,ЭТО,SPRO n - nom sg,,,   _Это_ говорит о завышенном,о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
25156,,говорит,ГОВОРИТЬ,V ipf praes sg indic - 3p,,,  Это _говорит_ о завышенном эго,т,и,р,о,в,о,V,ГОВОРИТЬ,V ipf praes sg indic - 3p,Ь
25157,,о,О,PR,,, Это говорит _о_ завышенном эго .,о,,,,,,PR,О,PR,О
25158,,завышенном,ЗАВЫШЕННЫЕ,A loc sg plen n,,,Это говорит о _завышенном_ эго . ,м,о,н,н,е,ш,PARTCP,ЗАВЫСИТЬ,PARTCP pf praet loc sg plen m pass -,Е
25159,,эго,ЭГО,S n inan loc sg,,,говорит о завышенном _эго_ .  ,о,г,э,,,,S,ЭГО,S n inan nonflex -,О
25160,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
25161,,,,,,,,,,,,,,,,,
25162,# sent = 1792,,,,,,,,,,,,,,,,
25163,# speaker = Ars,,,,,,,,,,,,,,,,
25164,# sent = 1793,,,,,,,,,,,,,,,,
25165,<noindex>[нрзб]</noindex>,,,,,,,,,,,,,,,,
25166,,,,,,,,,,,,,,,,,
25167,# sent = 1794,,,,,,,,,,,,,,,,
25168,# speaker = Tody,,,,,,,,,,,,,,,,
25169,# sent = 1795,,,,,,,,,,,,,,,,
25170,"<span class=""note"">",,,,,,,,,,,,,,,,
25171,<note>,смеется,,,,,,,,,,,,,,,
25172,</span>,,,,,,,,,,,,,,,,
25173,,,,,,,,,,,,,,,,,
25174,# sent = 1796,,,,,,,,,,,,,,,,
25175,# speaker = Tode,,,,,,,,,,,,,,,,
25176,# sent = 1797,,,,,,,,,,,,,,,,
25177,,Я,Я,SPRO sg 1p - nom,,,"   _Я_ думаю , что",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
25178,,думаю,ДУМАТЬ,V ipf praes sg indic - 1p,,,"  Я _думаю_ , что рапунцель",ю,а,м,у,д,,V,ДУМАТЬ,V ipf praes sg indic - 1p,Ь
25179,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
25180,,что,ЧТО,CONJ,,,"Я думаю , _что_ рапунцель это ..",о,т,ч,,,,CONJ,ЧТО,CONJ,О
25181,,рапунцель,РАПУНЦЕЛЬ,S f anim nom sg persn,,,"думаю , что _рапунцель_ это .. ммм",ь,л,е,ц,н,у,S,РАПУНЦЕЛЬ,S m inan acc sg,Ь
25182,,это,ЭТО,PART,,,", что рапунцель _это_ .. ммм ..",о,т,э,,,,PART,ЭТО,PART,О
25183,,..,..,PUNCT,,,,,,,,,,PUNCT,,,
25184,,ммм,МММ,INTJ,,,рапунцель это .. _ммм_ .. такая современная,м,м,м,,,,INTJ,МММ.,INTJ,М
25185,,..,..,PUNCT,,,,,,,,,,PUNCT,,,
25186,,такая,ТАКОЙ,APRO - nom sg plen f -,,,.. ммм .. _такая_ современная .. ,я,а,к,а,т,,APRO,ТАКОЙ,A - nom sg plen f -,Й
25187,,современная,СОВРЕМЕННЫЙ,A - nom sg plen f -,,,ммм .. такая _современная_ ..  ,я,а,н,н,е,м,A,СОВРЕМЕННЫЙ,A - nom sg plen f -,Й
25188,,..,..,PUNCT,,,,,,,,,,PUNCT,,,
25189,,,,,,,,,,,,,,,,,
25190,# sent = 1798,,,,,,,,,,,,,,,,
25191,# speaker = Ars,,,,,,,,,,,,,,,,
25192,# sent = 1799,,,,,,,,,,,,,,,,
25193,,Завышенное,ЗАВЫШЕННОЕ,A loc sg plen n,,,   _Завышенное_ эго  ,е,о,н,н,е,ш,PARTCP,ЗАВЫСИТЬ,PARTCP pf praet acc sg plen n pass -,Е
25194,,эго,ЭГО,S n inan num sg,,,  Завышенное _эго_   ,о,г,э,,,,INTJ,ЭГО,S n inan nonflex -,О
25195,,,,,,,,,,,,,,,,,
25196,# sent = 1800,,,,,,,,,,,,,,,,
25197,"<span class=""note"">",,,,,,,,,,,,,,,,
25198,<note>,Говорят одновременно,,,,,,,,,,,,,,,
25199,</span>,,,,,,,,,,,,,,,,
25200,,,,,,,,,,,,,,,,,
25201,# sent = 1801,,,,,,,,,,,,,,,,
25202,# speaker = Tody,,,,,,,,,,,,,,,,
25203,# sent = 1802,,,,,,,,,,,,,,,,
25204,,Нет,НЕТ,PART,,,"   _Нет_ , это я",т,е,н,,,,PART,НЕТ,PART,Т
